2025-12-12 14:10:20,927 - app.database - INFO - Database scheme is not sqlite, falling back to SQLite database: /root/web-dl-manager/webdl-manager.db
INFO:app.database:Database scheme is not sqlite, falling back to SQLite database: /root/web-dl-manager/webdl-manager.db
2025-12-12 14:10:56,671 - __main__ - INFO - Session设置: user=admin
2025-12-12 14:10:56,676 - uvicorn.access - INFO - 127.0.0.1:41246 - "POST /login HTTP/1.1" 303
2025-12-12 14:11:06,728 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-12-12 14:11:06,738 - python_multipart.multipart - DEBUG - Calling on_field_name with data[0:8]
2025-12-12 14:11:06,743 - python_multipart.multipart - DEBUG - Calling on_field_data with data[9:14]
2025-12-12 14:11:06,747 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-12-12 14:11:06,751 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-12-12 14:11:06,756 - python_multipart.multipart - DEBUG - Calling on_field_name with data[15:23]
2025-12-12 14:11:06,762 - python_multipart.multipart - DEBUG - Calling on_field_data with data[24:31]
2025-12-12 14:11:06,767 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-12-12 14:11:06,775 - python_multipart.multipart - DEBUG - Calling on_end with no data
2025-12-12 14:11:06,781 - __main__ - INFO - 登录尝试: username=admin
2025-12-12 14:11:06,795 - __main__ - INFO - 用户查询结果: <app.database.User object at 0x77245dba80>
2025-12-12 14:11:06,800 - __main__ - INFO - 密码验证结果: True
2025-12-12 14:11:06,805 - __main__ - INFO - Session设置: user=admin
2025-12-12 14:11:06,810 - uvicorn.access - INFO - 127.0.0.1:41296 - "POST /login HTTP/1.1" 303
2025-12-12 14:11:17,431 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-12-12 14:11:17,435 - python_multipart.multipart - DEBUG - Calling on_field_name with data[0:8]
2025-12-12 14:11:17,439 - python_multipart.multipart - DEBUG - Calling on_field_data with data[9:14]
2025-12-12 14:11:17,442 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-12-12 14:11:17,446 - python_multipart.multipart - DEBUG - Calling on_field_start with no data
2025-12-12 14:11:17,450 - python_multipart.multipart - DEBUG - Calling on_field_name with data[15:23]
2025-12-12 14:11:17,455 - python_multipart.multipart - DEBUG - Calling on_field_data with data[24:31]
2025-12-12 14:11:17,459 - python_multipart.multipart - DEBUG - Calling on_field_end with no data
2025-12-12 14:11:17,462 - python_multipart.multipart - DEBUG - Calling on_end with no data
2025-12-12 14:11:17,467 - __main__ - INFO - 登录尝试: username=admin
2025-12-12 14:11:17,479 - __main__ - INFO - 用户查询结果: <app.database.User object at 0x77245db5c0>
2025-12-12 14:11:17,485 - __main__ - INFO - 密码验证结果: True
2025-12-12 14:11:17,489 - __main__ - INFO - Session设置: user=admin
2025-12-12 14:11:17,495 - uvicorn.access - INFO - 127.0.0.1:41334 - "POST /login HTTP/1.1" 303
2025-12-12 14:12:05,103 - uvicorn.access - INFO - 127.0.0.1:41534 - "GET /login HTTP/1.1" 200
2025-12-12 14:12:10,022 - uvicorn.access - INFO - 127.0.0.1:41556 - "GET /login HTTP/1.1" 200
2025-12-12 14:12:14,735 - uvicorn.access - INFO - 127.0.0.1:41576 - "GET /login HTTP/1.1" 200
2025-12-12 14:25:00,401 - uvicorn.access - INFO - 127.0.0.1:42906 - "GET /static/css/style.css HTTP/1.1" 200
2025-12-12 14:25:03,473 - uvicorn.access - INFO - 127.0.0.1:42920 - "GET /login HTTP/1.1" 200
2025-12-12 14:25:04,115 - uvicorn.access - INFO - 127.0.0.1:42920 - "GET /static/css/style.css HTTP/1.1" 200
2025-12-12 14:25:10,873 - uvicorn.access - INFO - 127.0.0.1:42942 - "GET /login HTTP/1.1" 200
2025-12-12 14:25:21,696 - uvicorn.access - INFO - 127.0.0.1:42952 - "GET /login HTTP/1.1" 200
2025-12-12 14:25:23,238 - uvicorn.access - INFO - 127.0.0.1:42954 - "HEAD /static/css/style.css HTTP/1.1" 200
2025-12-12 14:26:21,572 - uvicorn.access - INFO - 127.0.0.1:43022 - "GET /login HTTP/1.1" 200
2025-12-12 14:26:21,694 - uvicorn.access - INFO - 127.0.0.1:43024 - "GET /login HTTP/1.1" 200
2025-12-12 14:26:21,808 - uvicorn.access - INFO - 127.0.0.1:43026 - "GET /login HTTP/1.1" 200
2025-12-12 14:29:20,166 - uvicorn.access - INFO - 127.0.0.1:43214 - "GET /login HTTP/1.1" 200
2025-12-12 14:29:20,334 - uvicorn.access - INFO - 127.0.0.1:43214 - "GET /static/css/style.css HTTP/1.1" 200
2025-12-12 14:42:51,118 - uvicorn.access - INFO - 127.0.0.1:44280 - "GET /api/updates/info HTTP/1.1" 404
